fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Sassuolo vs Napoli,Sassuolo,Sassuolo,Napoli,0,2,0-2,2,4,7,1,3,4,17,1,0,0.38,3,1,2,368,311,0.85,0.38,0
Sassuolo vs Napoli,Napoli,Sassuolo,Napoli,0,2,0-2,4,4,13,5,7,6,17,2,0,0.62,1,0,2,606,545,0.9,1.19,0
Genoa vs Lecce,Genoa,Genoa,Lecce,0,0,0-0,2,2,5,1,2,3,16,3,0,0.59,2,0,0,435,327,0.75,0.5,0
Genoa vs Lecce,Lecce,Genoa,Lecce,0,0,0-0,0,3,7,4,5,2,13,7,2,0.41,3,0,2,294,207,0.7,0.37,0
AC Milan vs Cremonese,AC Milan,AC Milan,Cremonese,1,2,1-2,6,9,24,9,16,8,10,9,1,0.64,1,0,1,608,551,0.91,1.88,0
AC Milan vs Cremonese,Cremonese,AC Milan,Cremonese,1,2,1-2,3,1,4,0,4,0,14,2,1,0.36,4,0,4,340,278,0.82,0.21,0
AS Roma vs Bologna,AS Roma,AS Roma,Bologna,1,0,1-0,4,9,14,1,8,6,15,2,1,0.51,1,0,2,414,338,0.82,1.56,0
AS Roma vs Bologna,Bologna,AS Roma,Bologna,1,0,1-0,2,7,10,1,6,4,13,4,1,0.49,1,0,3,388,301,0.78,0.58,0
Cagliari vs Fiorentina,Cagliari,Cagliari,Fiorentina,1,1,1-1,6,7,14,1,10,4,18,3,1,0.45,4,0,0,356,293,0.82,1.13,0
Cagliari vs Fiorentina,Fiorentina,Cagliari,Fiorentina,1,1,1-1,1,2,4,1,2,2,14,2,4,0.55,2,0,4,439,365,0.83,0.98,0
Como vs Lazio,Como,Como,Lazio,2,0,2-0,6,12,19,1,12,7,15,6,0,0.63,2,0,1,537,484,0.9,1.54,0
Como vs Lazio,Lazio,Como,Lazio,2,0,2-0,1,3,5,1,3,2,12,0,1,0.37,3,0,4,309,260,0.84,0.21,0
Juventus vs Parma,Juventus,Juventus,Parma,2,0,2-0,8,12,25,5,14,11,9,6,0,0.64,1,1,1,512,457,0.89,2.35,0
Juventus vs Parma,Parma,Juventus,Parma,2,0,2-0,2,4,8,2,4,4,13,6,0,0.36,2,0,6,275,207,0.75,0.62,0
Atalanta vs Pisa,Atalanta,Atalanta,Pisa,1,1,1-1,6,12,21,3,14,7,9,10,0,0.66,2,0,2,552,477,0.86,1.92,1
Atalanta vs Pisa,Pisa,Atalanta,Pisa,1,1,1-1,2,6,11,3,7,4,10,4,2,0.34,0,0,5,289,218,0.75,0.63,1
Udinese vs Verona,Udinese,Udinese,Verona,1,1,1-1,4,6,14,4,8,6,10,5,2,0.63,3,0,2,478,416,0.87,0.72,0
Udinese vs Verona,Verona,Udinese,Verona,1,1,1-1,3,4,9,2,2,7,14,1,2,0.37,2,0,4,286,210,0.73,0.56,0
Inter vs Torino,Inter,Inter,Torino,5,0,5-0,9,8,20,3,14,6,14,6,4,0.6,0,0,4,577,530,0.92,1.59,-2
Inter vs Torino,Torino,Inter,Torino,5,0,5-0,4,3,12,5,8,4,6,5,1,0.4,0,0,4,379,328,0.87,0.94,-2
Cremonese vs Sassuolo,Cremonese,Cremonese,Sassuolo,3,2,3-2,6,2,11,3,8,3,12,5,0,0.42,2,0,4,359,271,0.75,3.32,0
Cremonese vs Sassuolo,Sassuolo,Cremonese,Sassuolo,3,2,3-2,6,2,9,1,6,3,17,4,2,0.58,2,0,3,507,428,0.84,1.32,0
Lecce vs AC Milan,Lecce,Lecce,AC Milan,0,2,0-2,2,2,7,3,5,2,10,4,1,0.45,1,0,4,388,331,0.85,0.3,0
Lecce vs AC Milan,AC Milan,Lecce,AC Milan,0,2,0-2,6,5,14,3,11,3,8,5,4,0.55,0,0,2,482,416,0.86,1.85,0
Bologna vs Como,Bologna,Bologna,Como,1,0,1-0,2,6,15,7,10,5,13,7,3,0.36,4,0,2,242,169,0.7,1.1,0
Bologna vs Como,Como,Bologna,Como,1,0,1-0,2,5,13,6,8,5,19,4,0,0.64,3,0,1,459,379,0.83,0.69,0
Parma vs Atalanta,Parma,Parma,Atalanta,1,1,1-1,3,3,7,1,3,4,8,1,1,0.46,2,0,2,345,269,0.78,0.68,0
Parma vs Atalanta,Atalanta,Parma,Atalanta,1,1,1-1,3,4,11,4,8,3,15,2,4,0.54,2,0,2,420,334,0.8,0.81,0
Napoli vs Cagliari,Napoli,Napoli,Cagliari,1,0,1-0,6,8,20,6,15,5,16,13,3,0.67,2,0,1,615,554,0.9,1.58,0
Napoli vs Cagliari,Cagliari,Napoli,Cagliari,1,0,1-0,1,8,10,1,3,7,12,0,1,0.33,1,0,5,310,252,0.81,0.53,0
Pisa vs AS Roma,Pisa,Pisa,AS Roma,0,1,0-1,3,4,7,0,2,5,14,1,2,0.31,2,0,4,266,178,0.67,0.56,0
Pisa vs AS Roma,AS Roma,Pisa,AS Roma,0,1,0-1,5,2,10,3,6,4,10,7,1,0.69,1,0,3,581,486,0.84,0.78,0
Genoa vs Juventus,Genoa,Genoa,Juventus,0,1,0-1,1,6,10,3,6,4,14,3,0,0.44,1,0,2,350,264,0.75,0.55,0
Genoa vs Juventus,Juventus,Genoa,Juventus,0,1,0-1,3,4,13,6,8,5,15,4,2,0.56,2,0,1,449,358,0.8,1.03,0
Torino vs Fiorentina,Torino,Torino,Fiorentina,0,0,0-0,4,2,7,1,6,1,21,7,2,0.45,2,0,3,292,225,0.77,1.02,1
Torino vs Fiorentina,Fiorentina,Torino,Fiorentina,0,0,0-0,4,8,16,4,8,8,13,3,1,0.55,2,0,4,369,307,0.83,1.74,1
Lazio vs Verona,Lazio,Lazio,Verona,4,0,4-0,6,8,22,8,14,8,8,8,1,0.7,0,0,4,700,643,0.92,3.85,0
Lazio vs Verona,Verona,Lazio,Verona,4,0,4-0,4,5,12,3,8,4,19,1,1,0.3,0,0,2,300,236,0.79,0.77,0
Inter vs Udinese,Inter,Inter,Udinese,1,2,1-2,4,10,16,2,13,3,17,13,2,0.68,1,0,3,497,426,0.86,1.97,0
Inter vs Udinese,Udinese,Inter,Udinese,1,2,1-2,5,4,10,1,4,6,5,2,0,0.32,3,0,2,245,179,0.73,1.21,0
Cagliari vs Parma,Cagliari,Cagliari,Parma,2,0,2-0,5,3,12,4,8,4,15,4,3,0.51,3,0,6,396,319,0.81,1.13,0
Cagliari vs Parma,Parma,Cagliari,Parma,2,0,2-0,5,5,17,7,11,6,18,5,0,0.49,1,0,3,375,303,0.81,1.96,0
Juventus vs Inter,Juventus,Juventus,Inter,4,3,4-3,4,3,12,5,5,7,14,5,1,0.41,2,0,1,357,296,0.83,0.68,-2
Juventus vs Inter,Inter,Juventus,Inter,4,3,4-3,4,8,18,6,8,10,10,9,1,0.59,1,0,0,503,452,0.9,0.96,-2
Fiorentina vs Napoli,Fiorentina,Fiorentina,Napoli,1,3,1-3,3,8,19,8,14,5,14,8,0,0.53,0,0,5,456,373,0.82,1.65,0
Fiorentina vs Napoli,Napoli,Fiorentina,Napoli,1,3,1-3,9,2,14,3,11,3,14,5,0,0.47,0,0,2,419,346,0.83,3.29,0
AS Roma vs Torino,AS Roma,AS Roma,Torino,0,1,0-1,5,10,22,7,12,10,11,7,1,0.73,2,0,3,590,530,0.9,1.14,0
AS Roma vs Torino,Torino,AS Roma,Torino,0,1,0-1,4,3,8,1,4,4,17,4,4,0.27,3,0,5,223,155,0.7,0.65,0
Atalanta vs Lecce,Atalanta,Atalanta,Lecce,4,1,4-1,8,8,19,3,13,6,12,8,3,0.57,0,0,2,456,390,0.86,2.12,-1
Atalanta vs Lecce,Lecce,Atalanta,Lecce,4,1,4-1,3,4,12,5,4,8,7,2,1,0.43,0,0,4,357,284,0.8,0.46,-1
Pisa vs Udinese,Pisa,Pisa,Udinese,0,1,0-1,2,6,12,4,9,3,13,8,1,0.51,1,0,2,382,318,0.83,0.53,0
Pisa vs Udinese,Udinese,Pisa,Udinese,0,1,0-1,3,4,13,6,7,6,15,6,1,0.49,2,0,2,375,301,0.8,1.0,0
Sassuolo vs Lazio,Sassuolo,Sassuolo,Lazio,1,0,1-0,3,5,10,2,8,2,15,3,0,0.41,6,0,3,415,350,0.84,1.16,0
Sassuolo vs Lazio,Lazio,Sassuolo,Lazio,1,0,1-0,3,6,13,4,11,2,11,7,1,0.59,3,0,2,590,514,0.87,0.76,0
AC Milan vs Bologna,AC Milan,AC Milan,Bologna,1,0,1-0,3,7,14,4,10,4,17,7,2,0.39,3,0,0,336,286,0.85,1.0,0
AC Milan vs Bologna,Bologna,AC Milan,Bologna,1,0,1-0,0,2,5,3,3,2,16,4,1,0.61,2,0,2,521,453,0.87,0.17,0
Verona vs Cremonese,Verona,Verona,Cremonese,0,0,0-0,9,6,20,5,12,8,18,10,4,0.46,2,0,3,413,332,0.8,1.52,1
Verona vs Cremonese,Cremonese,Verona,Cremonese,0,0,0-0,2,2,6,2,2,4,3,1,1,0.54,1,0,9,491,399,0.81,0.24,1
Como vs Genoa,Como,Como,Genoa,1,1,1-1,4,3,13,6,7,6,13,0,0,0.53,2,1,4,452,379,0.84,1.83,0
Como vs Genoa,Genoa,Como,Genoa,1,1,1-1,6,0,12,6,9,3,17,8,0,0.47,2,0,3,396,323,0.82,2.34,0
Lecce vs Cagliari,Lecce,Lecce,Cagliari,1,2,1-2,5,6,11,0,8,3,10,4,0,0.52,2,0,4,378,318,0.84,0.99,0
Lecce vs Cagliari,Cagliari,Lecce,Cagliari,1,2,1-2,6,6,15,3,13,2,19,7,2,0.48,3,0,4,352,285,0.81,2.24,0
Bologna vs Genoa,Bologna,Bologna,Genoa,2,1,2-1,6,5,14,3,12,2,12,8,4,0.59,1,0,3,406,320,0.79,1.59,0
Bologna vs Genoa,Genoa,Bologna,Genoa,2,1,2-1,4,2,7,1,5,2,15,2,1,0.41,5,0,4,290,196,0.68,0.53,0
Verona vs Juventus,Verona,Verona,Juventus,1,1,1-1,4,8,14,2,7,7,18,5,1,0.28,3,0,3,216,146,0.68,1.53,0
Verona vs Juventus,Juventus,Verona,Juventus,1,1,1-1,4,4,10,2,6,4,10,3,1,0.72,3,0,3,570,495,0.87,0.47,0
Udinese vs AC Milan,Udinese,Udinese,AC Milan,0,3,0-3,4,3,10,3,2,8,9,1,3,0.4,2,0,4,393,351,0.89,0.34,0
Udinese vs AC Milan,AC Milan,Udinese,AC Milan,0,3,0-3,6,6,13,1,11,2,7,4,2,0.6,0,0,4,607,550,0.91,1.44,0
Lazio vs AS Roma,Lazio,Lazio,AS Roma,0,1,0-1,2,8,10,0,6,4,14,3,0,0.49,1,2,5,390,315,0.81,1.04,0
Lazio vs AS Roma,AS Roma,Lazio,AS Roma,0,1,0-1,6,6,13,1,12,1,22,6,4,0.51,1,0,2,408,336,0.82,1.16,0
Torino vs Atalanta,Torino,Torino,Atalanta,0,3,0-3,5,3,11,3,5,6,11,1,1,0.39,0,0,2,386,324,0.84,1.2,1
Torino vs Atalanta,Atalanta,Torino,Atalanta,0,3,0-3,5,3,9,1,8,1,9,0,0,0.61,0,0,5,617,541,0.88,1.64,1
Cremonese vs Parma,Cremonese,Cremonese,Parma,0,0,0-0,1,1,3,1,2,1,16,3,6,0.52,1,0,3,416,343,0.82,0.12,0
Cremonese vs Parma,Parma,Cremonese,Parma,0,0,0-0,3,6,15,6,10,5,8,3,0,0.48,0,0,1,377,307,0.81,0.84,0
Fiorentina vs Como,Fiorentina,Fiorentina,Como,1,2,1-2,1,4,8,3,4,4,16,2,2,0.39,4,0,5,313,241,0.77,0.49,0
Fiorentina vs Como,Como,Fiorentina,Como,1,2,1-2,7,9,19,3,10,9,19,6,2,0.61,3,0,0,502,426,0.85,1.25,0
Inter vs Sassuolo,Inter,Inter,Sassuolo,2,1,2-1,6,8,20,6,16,4,15,7,2,0.61,2,0,4,489,433,0.89,1.89,0
Inter vs Sassuolo,Sassuolo,Inter,Sassuolo,2,1,2-1,5,1,9,3,5,4,8,3,3,0.39,1,0,5,316,257,0.81,0.89,0
Napoli vs Pisa,Napoli,Napoli,Pisa,3,2,3-2,6,4,18,8,12,6,10,5,1,0.64,1,0,4,594,533,0.9,1.08,0
Napoli vs Pisa,Pisa,Napoli,Pisa,3,2,3-2,6,3,15,6,11,4,18,3,0,0.36,2,0,3,331,267,0.81,2.61,0
Como vs Cremonese,Como,Como,Cremonese,1,1,1-1,6,5,14,3,7,7,16,4,0,0.58,3,1,1,451,377,0.84,1.3,0
Como vs Cremonese,Cremonese,Como,Cremonese,1,1,1-1,2,7,9,0,6,3,17,3,4,0.42,4,0,5,316,241,0.76,0.45,0
Juventus vs Atalanta,Juventus,Juventus,Atalanta,1,1,1-1,10,6,24,8,14,10,6,14,1,0.67,0,0,1,600,537,0.9,1.59,1
Juventus vs Atalanta,Atalanta,Juventus,Atalanta,1,1,1-1,2,7,12,3,7,5,7,5,0,0.33,3,1,9,299,235,0.79,0.73,1
Cagliari vs Inter,Cagliari,Cagliari,Inter,0,2,0-2,0,4,6,2,5,1,13,4,1,0.42,0,0,3,374,301,0.8,0.18,0
Cagliari vs Inter,Inter,Cagliari,Inter,0,2,0-2,5,11,20,4,15,5,14,4,2,0.58,2,0,0,537,453,0.84,2.82,0
Sassuolo vs Udinese,Sassuolo,Sassuolo,Udinese,3,1,3-1,5,3,11,3,8,3,5,1,5,0.44,0,0,4,321,252,0.79,1.24,-1
Sassuolo vs Udinese,Udinese,Sassuolo,Udinese,3,1,3-1,5,6,12,1,6,6,22,5,1,0.56,3,0,2,404,342,0.85,1.32,-1
AS Roma vs Verona,AS Roma,AS Roma,Verona,2,0,2-0,5,2,10,3,6,4,11,8,0,0.57,0,0,3,432,315,0.73,0.95,0
AS Roma vs Verona,Verona,AS Roma,Verona,2,0,2-0,3,6,12,3,6,6,19,1,2,0.43,4,0,3,320,217,0.68,1.38,0
Pisa vs Fiorentina,Pisa,Pisa,Fiorentina,0,0,0-0,1,7,11,3,9,2,15,4,1,0.39,0,0,2,230,162,0.7,0.8,0
Pisa vs Fiorentina,Fiorentina,Pisa,Fiorentina,0,0,0-0,2,7,14,5,8,6,15,6,5,0.61,1,0,1,385,315,0.82,0.89,0
Lecce vs Bologna,Lecce,Lecce,Bologna,2,2,2-2,4,5,12,3,10,2,13,3,1,0.33,4,0,3,252,166,0.66,1.8,0
Lecce vs Bologna,Bologna,Lecce,Bologna,2,2,2-2,5,3,14,6,9,5,13,9,4,0.67,2,0,2,517,442,0.85,1.37,0
AC Milan vs Napoli,AC Milan,AC Milan,Napoli,2,1,2-1,3,2,6,1,5,1,7,1,1,0.37,1,1,6,359,298,0.83,0.75,-1
AC Milan vs Napoli,Napoli,AC Milan,Napoli,2,1,2-1,7,6,19,6,12,7,7,7,0,0.63,0,0,1,604,551,0.91,2.96,-1
Parma vs Torino,Parma,Parma,Torino,2,1,2-1,2,7,13,4,6,7,10,4,1,0.37,3,0,3,270,195,0.72,1.34,-1
Parma vs Torino,Torino,Parma,Torino,2,1,2-1,4,3,15,8,8,7,12,3,1,0.63,3,0,1,442,363,0.82,0.76,-1
Genoa vs Lazio,Genoa,Genoa,Lazio,0,3,0-3,5,8,17,4,10,7,18,6,1,0.65,5,0,2,503,431,0.86,1.63,1
Genoa vs Lazio,Lazio,Genoa,Lazio,0,3,0-3,6,3,9,0,8,1,16,0,2,0.35,1,0,5,280,194,0.69,1.07,1
Verona vs Sassuolo,Verona,Verona,Sassuolo,0,1,0-1,9,6,17,2,9,8,14,4,0,0.58,2,0,2,438,348,0.79,0.8,1
Verona vs Sassuolo,Sassuolo,Verona,Sassuolo,0,1,0-1,3,4,11,4,6,5,12,2,1,0.42,3,0,9,315,238,0.76,1.67,1
Lazio vs Torino,Lazio,Lazio,Torino,3,3,3-3,4,3,9,2,4,5,13,3,1,0.49,3,0,5,411,333,0.81,1.35,-1
Lazio vs Torino,Torino,Lazio,Torino,3,3,3-3,8,7,16,1,10,6,22,5,1,0.51,3,0,1,425,352,0.83,1.76,-1
Parma vs Lecce,Parma,Parma,Lecce,0,1,0-1,2,6,10,2,7,3,16,4,2,0.63,1,0,2,476,388,0.82,0.59,0
Parma vs Lecce,Lecce,Parma,Lecce,0,1,0-1,3,3,7,1,4,3,16,9,2,0.37,2,0,2,277,182,0.66,0.5,0
Inter vs Cremonese,Inter,Inter,Cremonese,4,1,4-1,9,12,27,6,16,11,9,13,4,0.66,1,0,1,595,525,0.88,3.57,0
Inter vs Cremonese,Cremonese,Inter,Cremonese,4,1,4-1,2,1,3,0,2,1,8,1,2,0.34,1,0,5,316,243,0.77,0.64,0
Atalanta vs Como,Atalanta,Atalanta,Como,1,1,1-1,4,5,16,7,8,8,10,8,2,0.51,1,0,3,457,391,0.86,1.4,0
Atalanta vs Como,Como,Atalanta,Como,1,1,1-1,4,4,12,4,8,4,19,3,1,0.49,3,0,2,460,389,0.85,1.32,0
Udinese vs Cagliari,Udinese,Udinese,Cagliari,1,1,1-1,4,9,23,10,15,8,14,7,0,0.6,1,0,2,441,368,0.83,2.68,1
Udinese vs Cagliari,Cagliari,Udinese,Cagliari,1,1,1-1,2,4,8,2,5,3,16,2,0,0.4,2,0,3,299,216,0.72,0.97,1
Bologna vs Pisa,Bologna,Bologna,Pisa,4,0,4-0,7,12,24,5,15,9,16,2,1,0.71,0,0,0,547,485,0.89,3.62,-1
Bologna vs Pisa,Pisa,Bologna,Pisa,4,0,4-0,0,2,2,0,2,0,12,2,2,0.29,1,1,3,211,147,0.7,0.04,-1
Fiorentina vs AS Roma,Fiorentina,Fiorentina,AS Roma,1,2,1-2,3,6,11,2,4,7,19,3,2,0.45,2,0,2,373,293,0.79,1.1,0
Fiorentina vs AS Roma,AS Roma,Fiorentina,AS Roma,1,2,1-2,3,3,8,2,5,3,21,4,0,0.55,3,0,2,467,384,0.82,1.35,0
Napoli vs Genoa,Napoli,Napoli,Genoa,2,1,2-1,5,4,12,3,10,2,16,7,2,0.69,1,0,0,554,462,0.83,1.31,0
Napoli vs Genoa,Genoa,Napoli,Genoa,2,1,2-1,1,3,6,2,1,5,15,5,2,0.31,3,0,3,245,168,0.69,0.44,0
Juventus vs AC Milan,Juventus,Juventus,AC Milan,0,0,0-0,3,7,12,2,8,4,15,6,0,0.51,2,0,4,475,422,0.89,1.13,0
Juventus vs AC Milan,AC Milan,Juventus,AC Milan,0,0,0-0,4,7,13,2,7,6,8,0,1,0.49,2,0,3,466,416,0.89,1.74,0
Pisa vs Verona,Pisa,Pisa,Verona,0,0,0-0,0,5,7,2,5,2,7,3,0,0.6,4,0,3,459,377,0.82,0.65,0
Pisa vs Verona,Verona,Pisa,Verona,0,0,0-0,3,8,15,4,12,3,15,8,2,0.4,2,0,0,290,197,0.68,1.54,0
Lecce vs Sassuolo,Lecce,Lecce,Sassuolo,0,0,0-0,2,6,11,3,5,6,11,6,1,0.52,2,0,2,414,339,0.82,0.7,1
Lecce vs Sassuolo,Sassuolo,Lecce,Sassuolo,0,0,0-0,2,4,9,3,5,4,9,4,1,0.48,2,0,2,394,306,0.78,0.39,1
Torino vs Napoli,Torino,Torino,Napoli,1,0,1-0,2,8,12,2,8,4,12,3,2,0.31,1,0,5,281,214,0.76,2.0,0
Torino vs Napoli,Napoli,Torino,Napoli,1,0,1-0,5,13,22,4,14,8,22,11,2,0.69,2,0,1,615,545,0.89,2.06,0
AS Roma vs Inter,AS Roma,AS Roma,Inter,0,1,0-1,5,6,15,4,11,4,15,4,3,0.57,4,0,2,509,444,0.87,1.35,1
AS Roma vs Inter,Inter,AS Roma,Inter,0,1,0-1,3,7,12,2,7,5,12,5,0,0.43,3,0,5,389,302,0.78,0.63,1
Como vs Juventus,Como,Como,Juventus,2,0,2-0,6,3,12,3,9,3,17,4,1,0.45,3,0,4,359,290,0.81,1.47,0
Como vs Juventus,Juventus,Como,Juventus,2,0,2-0,3,8,15,4,9,6,15,1,2,0.55,1,0,4,447,372,0.83,0.88,0
Cagliari vs Bologna,Cagliari,Cagliari,Bologna,0,2,0-2,3,1,4,0,1,3,15,2,5,0.42,1,0,5,310,241,0.78,0.19,0
Cagliari vs Bologna,Bologna,Cagliari,Bologna,0,2,0-2,7,2,10,1,4,6,22,7,1,0.58,3,0,3,427,363,0.85,0.77,0
Genoa vs Parma,Genoa,Genoa,Parma,0,0,0-0,7,9,23,7,10,13,23,3,2,0.68,2,0,0,540,474,0.88,2.2,1
Genoa vs Parma,Parma,Genoa,Parma,0,0,0-0,0,1,1,0,0,1,1,0,1,0.32,5,1,7,257,172,0.67,0.05,1
Atalanta vs Lazio,Atalanta,Atalanta,Lazio,0,0,0-0,6,7,16,3,12,4,10,7,3,0.58,4,0,1,608,552,0.91,2.32,1
Atalanta vs Lazio,Lazio,Atalanta,Lazio,0,0,0-0,1,2,4,1,1,3,5,1,0,0.42,0,0,6,447,386,0.86,0.25,1
AC Milan vs Fiorentina,AC Milan,AC Milan,Fiorentina,2,1,2-1,4,7,14,3,10,4,14,1,0,0.56,3,0,1,485,424,0.87,1.98,0
AC Milan vs Fiorentina,Fiorentina,AC Milan,Fiorentina,2,1,2-1,1,3,5,1,2,3,5,3,2,0.44,3,0,2,362,306,0.85,1.08,0
Cremonese vs Udinese,Cremonese,Cremonese,Udinese,1,1,1-1,4,5,11,2,6,5,15,5,1,0.52,4,0,0,370,285,0.77,0.91,0
Cremonese vs Udinese,Udinese,Cremonese,Udinese,1,1,1-1,1,5,8,2,6,2,14,4,2,0.48,2,0,2,339,276,0.81,0.59,0
